file_name,bbox,center_coordinates,detected_text,azimuth,longitude,latitude
GS__1534,"699,735,782,1075","740,905",ك } } 9,226.25,59.5183572,36.33979088888889
GS__1534,"1214,1260,1476,1349","1345,1304",زیبایی کل آرا,264.0625,59.5183572,36.33979088888889
GS__1547,"374,812,452,868","413,840",7,205.8125,59.5167296,36.340089194444445
GS__1552,"832,1479,968,1522","900,1500",٥٥٥ ٥٢٠٦٥,236.25,59.516036694444445,36.34020988888889
GS__1552,"882,1547,929,1574","905,1560", ٢,236.5625,59.516036694444445,36.34020988888889
GS__1553,"4225,625,4542,825","4383,725",٤ ٤,93.9375,59.515865,36.34024138888889
GS__1557,"1448,1484,1504,1504","1476,1494",آ,272.25,59.515176805555555,36.34036569444444
GS__1573,"4136,868,4345,917","4240,892",سثن ن>,85.0,59.51541380555555,36.339461
GS__1573,"4383,902,4481,939","4432,920",ثپ,97.0,59.51541380555555,36.339461
GS__1573,"4153,1092,4359,1163","4256,1127",٤ ٤٤٤٤ذ٥,86.0,59.51541380555555,36.339461
GS__1574,"3634,1091,3732,1158","3683,1124",سالن زيبای ٨٨,50.1875,59.5153875,36.33936080555556
GS__1586,"1902,716,2453,1021","2177,868",= 3,316.0625,59.51548230555556,36.338384500000004
GS__1589,"4437,1372,4783,1597","4610,1484",٨٢,108.125,59.515883305555555,36.338307694444445
GS__1590,"3987,1373,4081,1430","4034,1401",٤7,72.125,59.51602119444444,36.33827880555556
GS__1596,"2198,1330,2265,1361","2231,1345",چ٣ج٤,319.4375,59.5168828,36.33810530555556
GS__1596,"1917,568,2239,810","2078,689",؟٤ ٦,309.875,59.5168828,36.33810530555556
GS__1602,"5238,778,5313,967","5275,872",?,149.6875,59.5177537,36.33794838888889
GS__1603,"5437,1018,5475,1164","5456,1091",ِ,161.0,59.5179105,36.33792238888889
GS__1605,"3867,1311,3958,1348","3912,1329",رنبان دربابی,64.5,59.5182385,36.3378555
GS__1606,"2378,1294,2450,1325","2414,1309",?احارکت,330.875,59.5183602,36.33783488888889
GS__1607,"2420,1295,2494,1315","2457,1305",؟ مارلت,333.5625,59.518448,36.33781730555556
GS__1607,"2207,1303,2292,1334","2249,1318",ر؟&,320.5625,59.518448,36.33781730555556
GS__1607,"3883,1274,3963,1311","3923,1292",٧ر٥,65.1875,59.518448,36.33781730555556
GS__1608,"2373,1189,2487,1227","2430,1208",م9ی مارکت,331.875,59.518535299999996,36.33779861111111
GS__1608,"2102,1212,2208,1272","2155,1242",0مارکق ,314.6875,59.518535299999996,36.33779861111111
GS__1608,"4551,1333,4741,1373","4646,1353",زيبايى  خودرو مانتل '؟1٥٨,110.375,59.518535299999996,36.33779861111111
GS__1608,"4539,1421,4600,1441","4569,1431",انک بن,105.5625,59.518535299999996,36.33779861111111
GS__1609,"2020,1133,2201,1215","2110,1174",فساركت `385,311.875,59.5186567,36.33776830555556
GS__1609,"5237,1461,5370,1496","5303,1478",زیبایی   خودره مانت,151.4375,59.5186567,36.33776830555556
GS__1611,"1811,1194,1982,1284","1896,1239",ان اکسپرس ٨٤ ,298.5,59.518941,36.337721388888895
GS__1614,"1793,1212,1953,1284","1873,1248",08> ٤,297.0625,59.5192817,36.33766011111111
GS__1615,"954,1265,1196,1385","1075,1325",گل 084,247.1875,59.519387699999996,36.33763869444444
GS__1616,"2448,1203,2568,1279","2508,1241",أآل٥,336.75,59.51953019444444,36.337613194444444
GS__1616,"1479,1311,1583,1359","1531,1335",9ما9 اث,275.6875,59.51953019444444,36.337613194444444
GS__1617,"758,1411,816,1442","787,1426",سادان,229.1875,59.5196525,36.3375915
GS__1618,"716,1238,926,1335","821,1286",الأماة,231.3125,59.51979980555556,36.33756638888889
GS__1620,"1099,1432,1191,1470","1145,1451",لیلانجاءملآ,251.5625,59.520034305555555,36.33752011111111
GS__1622,"2987,1007,3078,1048","3032,1027",تزحاشان گه,9.5,59.52027061111111,36.3374785
GS__1623,"3053,807,3174,928","3113,867",( تروهحاشائ ذُنانا,14.5625,59.520385,36.3374565
GS__1624,"3323,677,3471,817","3397,747", كرومخاشافذنان,32.3125,59.52047730555555,36.33744219444445
GS__1625,"3542,467,3757,659","3649,563",١ روعشاذاذان,48.0625,59.520597305555555,36.33743011111111
GS__1627,"745,1483,854,1536","799,1509",بوشا ٢٥ ٢١ ٠ ٠٩ 4٢٢,229.9375,59.520896888888885,36.33737680555556
GS__1631,"3272,1220,3347,1277","3309,1248",اٰٰ ار,26.8125,59.521414694444445,36.337284611111116
GS__1632,"1536,1371,1683,1486","1609,1428",تتراطاذ راو1 بازاز ضزل لا  کاء عإارز پك 4 مه بت - اظنب ور,280.5625,59.5215125,36.337265
GS__1632,"3675,1177,3919,1320","3797,1248",أفه ا ,57.31249999999999,59.5215125,36.337265
GS__1635,"3571,668,3628,706","3599,687",ت,44.9375,59.52014061111111,36.33815611111111
GS__1643,"2081,1231,2135,1257","2108,1244", ٩5,311.75,59.5192311,36.3383265
GS__1644,"1259,1169,1768,1292","1513,1230",رباریت پامچال ف ,274.5625,59.5191255,36.338346694444446
GS__1645,"918,1328,1002,1358","960,1343",36099683|,240.0,59.5189924,36.33837030555556
GS__1648,"3841,1285,3921,1316","3881,1300",بى ٤٤,62.5625,59.5186609,36.3384305
GS__1649,"3688,1314,4020,1508","3854,1411",//1,60.875,59.5185095,36.33845961111111
GS__1651,"3548,1280,3579,1401","3563,1340",,42.6875,59.518205,36.33851219444445
GS__1656,"1623,885,1670,905","1646,895",7,282.875,59.5172546,36.338683
GS__1658,"1060,894,1255,951","1157,922",کروء -ا حعای اه0 ٤,252.3125,59.5170279,36.338716000000005
GS__1671,"1676,1297,1824,1357","1750,1327",ا؟أنللاي ,289.375,59.51506111111111,36.339072
GS__1672,"718,1401,824,1450","771,1425",پالالاي ؤز,228.1875,59.5149115,36.33909480555556
GS__1674,"1461,1393,1531,1435","1496,1414",ف!'نبظ,273.5,59.514567,36.33914911111111
GS__1676,"4206,561,4737,1131","4471,846",م,99.4375,59.51425280555556,36.339203000000005
GS__1679,"1767,1263,1855,1306","1811,1284",٢٦٠٤٥٩٩٤ جعد ز ادم,293.1875,59.51380069444444,36.339273694444444
GS__1679,"1880,1268,1963,1313","1921,1290",بابا,300.0625,59.51380069444444,36.339273694444444
GS__1679,"1546,1388,1590,1415","1568,1401",08,278.0,59.51380069444444,36.339273694444444
GS__1679,"1658,1397,1766,1428","1712,1412",هایپرعلی بابا,287.0,59.51380069444444,36.339273694444444
GS__1680,"879,1360,952,1398","915,1379",هسالر,237.1875,59.513691305555554,36.33929861111111
GS__1680,"1004,1332,1277,1385","1140,1358",ماچوعلی بابا,251.25,59.513691305555554,36.33929861111111
GS__1680,"639,1392,700,1436","669,1414",٢٤٠٤٥٩٩٤ حیدزاد:,221.8125,59.513691305555554,36.33929861111111
GS__1681,"3878,1154,4113,1212","3995,1183",نیک برق وکولر خودروا دلسؤن,69.6875,59.51365111111111,36.339380000000006
GS__1681,"3714,1221,3778,1258","3746,1239",چوِلیلای,54.125,59.51365111111111,36.339380000000006
GS__1681,"3905,1335,3934,1355","3919,1345",٥د,64.9375,59.51365111111111,36.339380000000006
GS__1682,"3545,1147,3661,1276","3603,1211",00 عابربانگ / قهو آ,45.1875,59.51368030555555,36.33951619444445
GS__1682,"4437,1238,4661,1313","4549,1275",جلوبندی امیر مقحع,104.3125,59.51368030555555,36.33951619444445
GS__1682,"1762,1379,1829,1410","1795,1394",؟٥١٧خ,292.1875,59.51368030555555,36.33951619444445
GS__1683,"3747,1225,3964,1294","3855,1259",قنظیوم پغار9 ٧37٤1,60.9375,59.51372238888889,36.33965588888889
GS__1683,"4095,1242,4211,1291","4153,1266",سیم کشی,79.5625,59.51372238888889,36.33965588888889
GS__1683,"4262,1121,4925,1352","4593,1236",س666 دارکق 0915&0030  کامل / /من کارت  ررأيکه 7 عابربانک / قهوه اسپرسو | پروتئینی صه  ث ,107.0625,59.51372238888889,36.33965588888889
GS__1683,"1082,1411,1136,1442","1109,1426",٧5|؟,249.3125,59.51372238888889,36.33965588888889
GS__1684,"3695,1211,3921,1307","3808,1259",سرویس دضسا روغن اتومبيل داى ابرانى وخارج گىربك اتومان ٥٠٥٠٢,58.00000000000001,59.51376338888889,36.339795305555555
GS__1684,"3962,1157,4245,1283","4103,1220",گلاستمی گ,76.4375,59.51376338888889,36.339795305555555
GS__1684,"4026,1317,4281,1396","4153,1356",ئ٤؟ر٩آ,79.5625,59.51376338888889,36.339795305555555
GS__1684,"4988,1309,5215,1416","5101,1362",}ا٥إ؟ا الزولا ئقژ٣ر شم مر بخادق,138.8125,59.51376338888889,36.339795305555555
GS__1684,"660,1421,703,1441","681,1431",٥١٧5ت,222.5625,59.51376338888889,36.339795305555555
GS__1685,"2775,1226,2957,1278","2866,1252",ثذسدد ولينو 7,359.125,59.51383669444444,36.33990438888889
GS__1685,"4161,1245,4249,1265","4205,1255",بك آءمان,82.8125,59.51383669444444,36.33990438888889
GS__1685,"4247,1214,4692,1335","4469,1274",ترولر اتو سرویس د تعويض روغق اتومیيل شاى اثیواتی وخارجی اترنر را,99.3125,59.51383669444444,36.33990438888889
GS__1686,"3635,1183,3740,1251","3687,1217",هتین,50.4375,59.51396288888889,36.3398915
GS__1686,"1155,1222,1383,1388","1269,1305",خلمق غغلفنا ن٢ا اا_ !١٧ إ؛ر ٢،ا٠ 233,259.3125,59.51396288888889,36.3398915
GS__1686,"1261,1468,1326,1506","1293,1487",ثارژکر,260.8125,59.51396288888889,36.3398915
GS__1686,"4152,1184,4257,1246","4204,1215",كشاءانا,82.75,59.51396288888889,36.3398915
GS__1687,"1816,1415,1856,1446","1836,1430",^$,294.75,59.514070305555556,36.3398705
GS__1690,"3484,978,3593,1031","3538,1004",0413,41.125,59.51449111111111,36.33979569444445
GS__1694,"1109,1384,1185,1415","1147,1399",؟9,251.6875,59.515062,36.33968711111111
GS__1694,"4636,1411,4740,1442","4688,1426",گروه ساختمانی,113.0,59.515062,36.33968711111111
GS__1694,"1107,1467,1288,1540","1197,1503",جالكم 320چ !4525,254.8125,59.515062,36.33968711111111
GS__1694,"1219,1368,1303,1407","1261,1387",؟0?,258.8125,59.515062,36.33968711111111
GS__1696,"1199,1293,1379,1379","1289,1336",اگا,260.5625,59.5153485,36.3396465
GS__1702,"473,716,778,985","625,850",0,219.0625,59.51639138888889,36.339463111111115
GS__1706,"4372,1442,4554,1614","4463,1528",خ چ | ?) @,98.9375,59.5170214,36.33935511111111
GS__1709,"2005,1415,2094,1446","2049,1430",٠٩١٥٨٥٧٤٣٥,308.0625,59.517445099999996,36.33928111111111
GS__1709,"1517,1449,1592,1498","1554,1473",666,277.125,59.517445099999996,36.33928111111111
GS__1710,"4726,1650,4830,1699","4778,1674",١٢٠٤٧؟٠٨١٥,118.625,59.5175586,36.33925961111111
GS__1711,"4634,1439,4739,1499","4686,1469",؟٥٧,112.875,59.5176484,36.33924430555556
GS__1735,"5299,898,5374,996","5336,947",٣,153.5,59.52110169444445,36.33862930555556
GS__1735,"3968,1556,4095,1601","4031,1578",٠٩١٥٦٥٠٠٠١٢,71.9375,59.52110169444445,36.33862930555556
GS__1738,"3346,1366,3417,1392","3381,1379",٥٥٥,31.3125,59.521644888888886,36.338532
GS__1745,"750,948,834,1023","792,985",اا,229.5,59.5191216,36.33978030555556
GS__1745,"777,1328,910,1423","843,1375",مشما,232.6875,59.5191216,36.33978030555556
GS__1754,"1639,1165,1783,1230","1711,1197",نازگ,286.9375,59.5188813,36.33888411111111
GS__1756,"3567,1186,3696,1261","3631,1223",رایشگاه .,46.9375,59.5188102,36.33863138888889
GS__1757,"4737,1337,4957,1457","4847,1397",آوایشگاه ل7,122.9375,59.518785,36.33853388888889
GS__1759,"1640,1055,1671,1104","1655,1079",(,283.4375,59.5187457,36.3383715
GS__1762,"2414,1086,2521,1163","2467,1124",اامارئت ],334.1875,59.5186549,36.338040694444445
GS__1763,"952,1187,1272,1315","1112,1251",|9 امآرکت,249.5,59.5186132,36.337891194444445
GS__1763,"251,1440,336,1494","293,1467",طباطبائی,198.3125,59.5186132,36.337891194444445
GS__1764,"2788,1127,2909,1154","2848,1140",زيبايئ   خودرو  مالتل,358.0,59.5185878,36.3378085
GS__1764,"554,1409,724,1481","639,1445",نور مارکت ٢٠٩١٥٠٧٥,219.9375,59.5185878,36.3378085
GS__1764,"100,1450,274,1547","187,1498",  مارثت,191.6875,59.5185878,36.3378085
GS__1765,"3928,1132,4120,1231","4024,1181",مانتل  خودرو زیبایح,71.5,59.5185524,36.337665388888894
GS__1772,"3491,1136,3646,1220","3568,1178",5لئ٧| ٤11445=7 01|47573 ٠٥١٧٦٥٢٢,43.0,59.5183077,36.33679488888889
GS__1773,"4615,1247,4874,1390","4744,1318",چدف لاتومپیل خلمات ولگ لچاوگرا د بودخگیلاالی دیلثی ٥٢٠٢٠ ٥٥٥٥٥٧,116.5,59.5182773,36.336688
GS__1780,"1196,1376,1267,1412","1231,1394",فبلمان خلله,256.9375,59.51664930555555,36.336887805555556
GS__1783,"3365,620,3475,635","3420,627",اا٨د  ا بدم,33.75,59.516618,36.33714488888889
GS__1783,"3303,545,3389,596","3346,570",آه,29.125,59.516618,36.33714488888889
GS__1784,"1478,349,1941,897","1709,623",٨_,286.8125,59.516646,36.33724930555556
GS__1792,"3968,1327,4068,1391","4018,1359",٥؟,71.125,59.5169006,36.338184500000004
GS__1795,"5303,920,5339,947","5321,933",[3,152.5625,59.5170305,36.33866530555556
GS__1795,"5411,885,5512,925","5461,905",كروهساخمانى,161.3125,59.5170305,36.33866530555556
GS__1796,"5534,1025,5608,1045","5571,1035",رودساختمانى,168.1875,59.5170548,36.33876580555556
GS__1799,"924,1509,1078,1551","1001,1530",ساز ٠٣٦٥١١١٣,242.5625,59.5171668,36.339151694444446
GS__1814,"3802,1100,3989,1205","3895,1152",زیبایی آرا حسینیور,63.43750000000001,59.51536988888889,36.33932319444445
GS__1815,"5035,1358,5108,1422","5071,1390",ٰرزا د,136.9375,59.5153295,36.33918588888889
GS__1819,"3908,637,4110,668","4009,652",;77==_=,70.5625,59.51518519444444,36.3386915
