file_name,detected_text,confidence,center_coordinates,azimuth
GS__1533.JPG,,0.0,"(2506, 2372)",45.54
GS__1534.JPG,?,0.0629804391225121,"(719, 765)",244.71
GS__1534.JPG,},0.7260321790969471,"(731, 839)",245.79000000000002
GS__1534.JPG,ذ,0.1957153415184729,"(747, 938)",247.23000000000002
GS__1534.JPG,9,0.5637095211010354,"(756, 1037)",248.04000000000002
GS__1534.JPG,زیبایی کل آرا,0.7195436867831,"(1343, 1305)",300.87
GS__1534.JPG,;,0.0564500206653315,"(1642, 2465)",327.78
GS__1536.JPG,7==,0.3443610938377333,"(4576, 656)",231.84
GS__1536.JPG,٤٦٣٥١,0.0088291969540684,"(2027, 1476)",2.43
GS__1536.JPG,أ٥,0.0322797352756198,"(2027, 1534)",2.43
GS__1536.JPG,تآ,0.1390749181621985,"(1565, 1554)",320.85
GS__1537.JPG,,0.0,"(1649, 2486)",328.41
GS__1539.JPG,5,0.1024457196711958,"(1640, 2488)",327.6
GS__1539.JPG,,0.0,"(2504, 2384)",45.36
GS__1540.JPG,,0.0,"(2524, 2398)",47.160000000000004
GS__1543.JPG,,0.0,"(1638, 2450)",327.42
GS__1544.JPG,7,0.0791603976326706,"(1633, 2452)",326.97
GS__1545.JPG,7,0.3594416305588765,"(1622, 2452)",325.98
GS__1545.JPG,,0.0,"(2499, 2358)",44.91
GS__1546.JPG,EIق,0.1673178847127436,"(4576, 1688)",231.84
GS__1546.JPG,,0.0,"(2445, 2380)",40.05
GS__1547.JPG,TT,0.0023737111510035,"(4618, 644)",235.61999999999998
GS__1547.JPG,,0.0,"(2499, 2373)",44.91
GS__1548.JPG,7,0.3742818277169277,"(1626, 2461)",326.34000000000003
GS__1548.JPG,,0.0,"(2485, 2366)",43.65
GS__1549.JPG,=,0.0717979842154656,"(2432, 2358)",38.88
GS__1550.JPG,,0.0,"(2440, 2355)",39.6
GS__1552.JPG,7,0.1554816198206419,"(1622, 2445)",325.98
GS__1552.JPG,IT٥N,0.0256166663020849,"(5212, 1721)",289.08000000000004
GS__1552.JPG,,0.0,"(2443, 2366)",39.87
GS__1553.JPG,= ٤,0.5852859579110722,"(4405, 719)",216.45
GS__1553.JPG,,0.0,"(2492, 2363)",44.28
GS__1554.JPG,غتععفقماء,0.0194424042862318,"(4987, 1873)",268.83
GS__1555.JPG,,0.0,"(1649, 2488)",328.41
