file_name,detected_text,confidence,center_coordinates,azimuth,longitude,latitude,parcel_name
GS__1618,7,0.5637431747462109,"(1619, 2441)",325.71,59.51979980555556,36.33756638888889,['11-04-140-0035']
GS__1618,<,0.4361599306645622,"(3548, 2242)",139.32,59.51979980555556,36.33756638888889,['11-04-039-0006']
GS__1620,ا٥,0.5912047981962755,"(1149, 1453)",283.41,59.52003430555556,36.33752011111111,['11-04-081-0008']
GS__1620,7,0.2791245569285685,"(1633, 2475)",326.97,59.52003430555556,36.33752011111111,['11-04-140-0032']
GS__1620,7,0.5062257882910934,"(3645, 2228)",148.05,59.52003430555556,36.33752011111111,['11-04-050-0031']
GS__1621,٩٧٧٧٢ ٢ ٦٤٤,0.2165039885156144,"(2832, 1527)",74.88,59.52013980555555,36.33750169444445,['11-04-044-0019']
GS__1623,٤٢٩١٥٨٢,0.2049907069806388,"(2814, 1523)",73.25999999999999,59.520385,36.3374565,['11-04-192-0001']
GS__1625,0,0.1593539716477474,"(3677, 541)",150.93,59.52059730555556,36.33743011111111,['11-04-050-0031']
GS__1626,/,0.6288186280589549,"(3664, 2234)",149.76,59.520729805555554,36.33740911111112,['11-04-049-0001']
GS__1630,7,0.6436101755746826,"(1644, 2502)",327.96,59.52128688888889,36.33730511111112,['11-04-141-0029']
GS__1631,اٰٰ ار,0.2677261819137311,"(3309, 1248)",117.81,59.521414694444445,36.33728461111112,['11-04-198-0001']
GS__1632,gکأفه ا,0.5519536367191945,"(3802, 1250)",162.18,59.5215125,36.337265,['11-04-052-0013']
GS__1632,ضزل,0.665490448474884,"(1568, 1419)",321.12,59.5215125,36.337265,['11-04-141-0029']
GS__1632,رذ #ا,0.1319805006939282,"(1581, 1455)",322.29,59.5215125,36.337265,['11-04-141-0029']
GS__1632,بزیغ بیبر,0.1558913174774089,"(1579, 1480)",322.11,59.5215125,36.337265,['11-04-141-0029']
GS__1632,٤٢٥٢٧٢,0.2953343110157873,"(5189, 1774)",287.01,59.5215125,36.337265,['11-04-135-0033']
GS__1636,١١١١١١١٢,0.2488015679990649,"(3777, 1340)",159.92999999999998,59.520015694444446,36.338181194444445,['11-04-051-0017']
GS__1643,Deps,0.1292069405317306,"(2108, 1246)",9.72,59.5192311,36.3383265,['11-04-152-0002']
GS__1644,رباریت پامچال,0.2827608293740433,"(1608, 1230)",324.72,59.5191255,36.338346694444446,['11-04-140-0028']
GS__1644,peesi,0.6821968986900226,"(1310, 1267)",297.9,59.5191255,36.338346694444446,['11-04-081-0011-001']
GS__1644,آن بوتین,0.2286129853351941,"(1609, 1472)",324.81,59.5191255,36.338346694444446,['11-04-140-0028']
GS__1648,٤٤,0.9673231866094566,"(3863, 1300)",167.67,59.5186609,36.3384305,['11-04-052-0001-002']
GS__1649,٢٦ ٢,0.2761221826076507,"(3857, 1411)",167.13,59.5185095,36.33845961111111,['11-04-052-0001-003']
GS__1650,7,0.6183738072893483,"(1647, 2497)",328.23,59.5183551,36.3384845,['11-04-140-0028']
GS__1651,٥,0.2727191606951784,"(3566, 1302)",140.94,59.518205,36.33851219444445,['11-04-040-0001-001']
GS__1651,:,0.1955798023138868,"(3563, 1358)",140.67,59.518205,36.33851219444445,['11-04-040-0001-001']
GS__1652,;0,0.3527658849793707,"(5735, 1629)",336.15,59.5180426,36.33854180555556,['11-04-141-0023-002']
GS__1654,٥٢٢١٥,0.2190948382032777,"(182, 1750)",196.38,59.5177375,36.33860061111111,['11-04-067-0007']
GS__1657,٣٥ا,0.1132051992696663,"(1403, 902)",306.27,59.5171527,36.33869861111111,['11-04-063-0033-001']
