file_name,detected_text,confidence,center_coordinates,azimuth,longitude,latitude
GS__1636,١١١١١١١٢,0.2488015679990649,"(3777, 1340)",159.92999999999998,59.520015694444446,36.338181194444445
GS__1637,ذيغ ملی,0.026146848050915,"(1546, 1264)",319.14,59.51988188888889,36.33821719444445
GS__1637,كلار3,0.0388483799623146,"(1531, 1298)",317.79,59.51988188888889,36.33821719444445
GS__1640,٤٧٧٣٩٥١٠,0.0017013913821637,"(2882, 1444)",79.38,59.51951230555555,36.338283000000004
GS__1643,Deps,0.1292069405317306,"(2108, 1246)",9.72,59.5192311,36.3383265
GS__1644,رباریت پامچال,0.2827608293740433,"(1608, 1230)",324.72,59.5191255,36.338346694444446
GS__1644,peesi,0.6821968986900226,"(1310, 1267)",297.9,59.5191255,36.338346694444446
GS__1644,آن بوتین,0.2286129853351941,"(1609, 1472)",324.81,59.5191255,36.338346694444446
GS__1645,قنpزیک,0.037180608049017,"(521, 1534)",226.89,59.5189924,36.33837030555556
GS__1645,,0.0,"(1646, 2456)",328.14,59.5189924,36.33837030555556
GS__1645,3E09960|,0.0505538107823994,"(960, 1342)",266.4,59.5189924,36.33837030555556
GS__1645,7,0.0572201953680731,"(2442, 2377)",39.78,59.5189924,36.33837030555556
GS__1646,7,0.0390636672159558,"(1635, 2470)",327.15,59.5189032,36.338387194444444
GS__1647,;,0.0387758285240791,"(1631, 2463)",326.79,59.5188043,36.338403694444445
GS__1648,٤٤,0.9673231866094566,"(3863, 1300)",167.67,59.5186609,36.3384305
GS__1649,,0.0,"(1637, 2456)",327.33,59.5185095,36.33845961111111
GS__1649,٢٦ ٢,0.2761221826076507,"(3857, 1411)",167.13,59.5185095,36.33845961111111
GS__1649,,0.0,"(2465, 2371)",41.85,59.5185095,36.33845961111111
GS__1650,7,0.6183738072893483,"(1647, 2497)",328.23,59.5183551,36.3384845
GS__1651,٥,0.2727191606951784,"(3566, 1302)",140.94,59.518205,36.33851219444445
GS__1651,:,0.1955798023138868,"(3563, 1358)",140.67,59.518205,36.33851219444445
GS__1651,Dr,0.0454007627785568,"(2987, 2213)",88.83,59.518205,36.33851219444445
GS__1652,ّ,0.0213675915506996,"(4891, 1489)",260.19,59.5180426,36.33854180555556
GS__1652,;0,0.3527658849793707,"(5735, 1629)",336.15,59.5180426,36.33854180555556
GS__1652,٨ ٥٢٢ ٠ ٠٦٤٢,0.0156226944323919,"(5726, 1655)",335.34,59.5180426,36.33854180555556
GS__1652,,0.0,"(1647, 2483)",328.23,59.5180426,36.33854180555556
GS__1652,,0.0,"(2498, 2384)",44.82,59.5180426,36.33854180555556
GS__1653,تآئ٥ ط ٤Vء,0.030342389135558,"(146, 1770)",193.14,59.5178799,36.33857430555556
GS__1654,٥٢٢١٥,0.2190948382032777,"(182, 1750)",196.38,59.517737499999996,36.33860061111111
GS__1655,٠٠V٥ طIت,0.0096880115735192,"(53, 1740)",184.77,59.5175847,36.338621611111115
GS__1655,,0.0,"(1633, 2450)",326.97,59.5175847,36.338621611111115
GS__1656,- Eتثآ٥ طن,0.0342242693278412,"(416, 1799)",217.44,59.5172546,36.338683
GS__1657,٣٥ا,0.1132051992696663,"(1403, 902)",306.27,59.5171527,36.33869861111111
GS__1657,٧، ٥٩٧٣٣٤,0.0087660076957462,"(2951, 1498)",85.58999999999999,59.5171527,36.33869861111111
GS__1657,;,0.3011305999950799,"(1640, 2457)",327.6,59.5171527,36.33869861111111
GS__1657,EY٥٥ط,0.1043548700509161,"(861, 1912)",257.49,59.5171527,36.33869861111111
GS__1658,کرو ساخماتی,0.1857227574453985,"(1207, 912)",288.63,59.5170279,36.338716000000005
GS__1658,٥ب~0,0.0875092074275016,"(1128, 929)",281.52,59.5170279,36.338716000000005
GS__1659,شش٥,0.031740828315897,"(871, 1915)",258.39,59.5169061,36.338738694444444
GS__1659,ط٢٤٧,0.8675630688667297,"(807, 1951)",252.63,59.5169061,36.338738694444444
GS__1660,F٤V٥طVI,0.037414494253559,"(292, 1820)",206.28,59.5167899,36.338758500000004
GS__1661,R,0.9297845538297942,"(4139, 1458)",192.51,59.516666799999996,36.338779888888894
GS__1661,^,0.822811958682351,"(4130, 1505)",191.7,59.516666799999996,36.338779888888894
GS__1661,ط ٤٤٧,0.683596013026475,"(312, 1876)",208.08,59.516666799999996,36.338779888888894
GS__1661,7,0.136082263484405,"(1649, 2481)",328.41,59.516666799999996,36.338779888888894
GS__1661,ث٥٧٢٥,0.068931039106386,"(379, 1862)",214.11,59.516666799999996,36.338779888888894
GS__1661,=,0.469235945550853,"(2503, 2382)",45.27,59.516666799999996,36.338779888888894
GS__1662,,0.0,"(2545, 2404)",49.05,59.516530305555555,36.33880219444445
GS__1663,=,0.2968695026116599,"(1649, 2504)",328.41,59.516390694444446,36.338824888888894
GS__1663,,0.0,"(2541, 2388)",48.690000000000005,59.516390694444446,36.338824888888894
GS__1665,7,0.2500461361234016,"(1651, 2474)",328.59000000000003,59.51593030555556,36.338907
GS__1665,,0.0,"(2501, 2379)",45.09,59.51593030555556,36.338907
GS__1666,,0.0,"(1631, 2447)",326.79,59.51575669444444,36.338943
GS__1666,,0.0,"(2470, 2361)",42.3,59.51575669444444,36.338943
GS__1667,٨٢٥8٦fآ,0.0713406095388299,"(3658, 1559)",149.22,59.51559311111111,36.33897319444445
GS__1667,,0.0,"(1635, 2452)",327.15,59.51559311111111,36.33897319444445
GS__1667,7,0.3180234704396447,"(3632, 2242)",146.88,59.51559311111111,36.33897319444445
GS__1667,,0.0,"(2476, 2364)",42.84,59.51559311111111,36.33897319444445
GS__1668,٩١٥٢٢ ٥ ٤٩؛,0.1637799019373342,"(2978, 1563)",88.02,59.515450305555554,36.33899688888889
GS__1668,,0.0,"(2507, 2395)",45.63,59.515450305555554,36.33899688888889
GS__1669,",",0.0587733171271063,"(1651, 2508)",328.59000000000003,59.51534569444444,36.339020000000005
GS__1669,,0.0,"(2553, 2388)",49.77,59.51534569444444,36.339020000000005
GS__1670,،٦٩٢٩٨٥٤٦,0.1401108237669144,"(2936, 1532)",84.24000000000001,59.515194111111114,36.33905130555556
GS__1670,7,0.2926175523757734,"(1635, 2465)",327.15,59.515194111111114,36.33905130555556
GS__1671,ر؟أنللاي-,0.0939876285261955,"(1750, 1327)",337.5,59.51506111111111,36.339072
GS__1671,شلتذن[,0.0724905053228575,"(3806, 1597)",162.54,59.51506111111111,36.339072
GS__1671,,0.0,"(1626, 2481)",326.34000000000003,59.51506111111111,36.339072
GS__1672,باللاي ؤز,0.2197418224489218,"(771, 1425)",249.39,59.5149115,36.33909480555556
GS__1672,٥٥٥8,0.0304449070245027,"(5202, 1669)",288.18,59.5149115,36.33909480555556
GS__1674,:/:':|:,0.3873787249300568,"(1496, 1412)",314.64,59.514567,36.33914911111111
GS__1674,>,0.0935721343393289,"(1635, 2484)",327.15,59.514567,36.33914911111111
GS__1674,٥٧؟٧٥٧٥{,0.0059967916706105,"(2124, 704)",11.16,59.514567,36.33914911111111
GS__1674,=,0.2392145335845761,"(2499, 2378)",44.91,59.514567,36.33914911111111
GS__1675,5,0.073764233208351,"(1626, 2447)",326.34000000000003,59.51438288888889,36.33918119444445
GS__1676,٦,0.1118081114862059,"(4450, 893)",220.50000000000003,59.51425280555556,36.339203000000005
GS__1677,8,0.0070637900207515,"(1649, 2475)",328.41,59.51409911111111,36.339227694444446
GS__1678,7,0.2483719654877711,"(1638, 2470)",327.42,59.513950111111114,36.339250694444445
GS__1678,=,0.2956000756078083,"(2496, 2375)",44.64,59.513950111111114,36.339250694444445
GS__1679,٢٦٠٤٥٦٠٤,0.3851795375182752,"(1811, 1273)",342.99,59.51380069444444,36.339273694444444
GS__1679,حعدزادد,0.729920590754552,"(1811, 1300)",342.99,59.51380069444444,36.339273694444444
GS__1679,بابا,0.603625960352668,"(1921, 1293)",352.89,59.51380069444444,36.339273694444444
GS__1679,0f8,0.0121953044026998,"(1568, 1401)",321.12,59.51380069444444,36.339273694444444
GS__1679,هاییرعلی بابا,0.5060540848983672,"(1714, 1412)",334.26,59.51380069444444,36.339273694444444
GS__1679,٤٧٣ د ٦٢٤,0.0422829956595852,"(3406, 1561)",126.54,59.51380069444444,36.339273694444444
GS__1679,7,0.0183448955903173,"(1651, 2506)",328.59000000000003,59.51380069444444,36.339273694444444
GS__1679,خ,0.1881400480372699,"(2552, 2387)",49.68000000000001,59.51380069444444,36.339273694444444
GS__1680,L@,0.0976779393433502,"(1115, 1280)",280.35,59.513691305555554,36.33929861111111
GS__1680,شاچد علیبابا,0.1887932917860957,"(1139, 1360)",282.51,59.513691305555554,36.33929861111111
GS__1680,مایپرعلی بابا,0.7144402889128139,"(697, 1509)",242.73,59.513691305555554,36.33929861111111
GS__1680,آ٩٥م ٥٦٩,0.0849302804895707,"(3514, 1607)",136.26,59.513691305555554,36.33929861111111
GS__1680,٢٢٠٤٥٩٩٤,0.4037269349192275,"(669, 1404)",240.21,59.513691305555554,36.33929861111111
GS__1680,مش,0.1713704344594726,"(1930, 1558)",353.7,59.513691305555554,36.33929861111111
GS__1681,E,0.1523484019366527,"(1651, 2418)",328.59000000000003,59.51365111111111,36.339380000000006
GS__1682,0ار5,0.2915060818195343,"(3600, 1185)",144.0,59.51368030555555,36.33951619444445
GS__1682,عابربانک  قبوِء,0.0329292604426357,"(3622, 1257)",145.98000000000002,59.51368030555555,36.33951619444445
GS__1682,جلوبنىى,0.3163147549402618,"(4592, 1266)",233.28,59.51368030555555,36.33951619444445
GS__1682,صتحع,0.1122138872742652,"(4547, 1294)",229.23,59.51368030555555,36.33951619444445
GS__1682,٥١٧ ٤,0.2475759938551991,"(1788, 1395)",340.92,59.51368030555555,36.33951619444445
GS__1682,ر,0.3093902973923832,"(1651, 2533)",328.59000000000003,59.51368030555555,36.33951619444445
GS__1682,افی,0.2713565282276479,"(4481, 1258)",223.29,59.51368030555555,36.33951619444445
GS__1683,وبخاری,0.0989429123650413,"(3793, 1257)",161.37,59.51372238888889,36.33965588888889
GS__1683,ررأیکتن ,0.0277123881504916,"(4551, 1262)",229.59,59.51372238888889,36.33965588888889
GS__1683,اشذثاذن,0.0181188984034994,"(3779, 1282)",160.11,59.51372238888889,36.33965588888889
GS__1683,Seren ؟,0.6936240721305874,"(4311, 1318)",207.99,59.51372238888889,36.33965588888889
GS__1683,IU5؟,0.071773923933506,"(1109, 1426)",279.81,59.51372238888889,36.33965588888889
GS__1683,م06@(,0.1928149337680065,"(4567, 1161)",231.03000000000003,59.51372238888889,36.33965588888889
GS__1683,0ارکق,0.3411968117574831,"(4813, 1224)",253.17,59.51372238888889,36.33965588888889
GS__1683,قنظیوم,0.2857953154557049,"(3913, 1260)",172.17000000000002,59.51372238888889,36.33965588888889
GS__1683,0915E0062E,0.1945409497467986,"(4690, 1245)",242.1,59.51372238888889,36.33965588888889
GS__1683,/من کارت ,0.3811117146861514,"(4621, 1274)",235.89,59.51372238888889,36.33965588888889
GS__1683, کامل /,0.5677242631189875,"(4677, 1283)",240.93,59.51372238888889,36.33965588888889
GS__1683,عابربائگ / قهوه اسپرسو پروتئینی,0.3906953567931844,"(4789, 1308)",251.01,59.51372238888889,36.33965588888889
GS__1683,Mبe,0.3264566275170349,"(4402, 1330)",216.18,59.51372238888889,36.33965588888889
GS__1684,لهانا تآم,0.0346410090581907,"(4000, 1147)",180.0,59.51376338888889,36.339795305555555
GS__1684,الو سرویس وض,0.5638941107776221,"(3817, 1233)",163.53,59.51376338888889,36.339795305555555
GS__1684,گلاسمی,0.3995748068122772,"(4101, 1207)",189.09,59.51376338888889,36.339795305555555
GS__1684,روغن اتومنيل داى ابرانى وخارج,0.3324350320705298,"(3784, 1266)",160.56,59.51376338888889,36.339795305555555
GS__1684,UB0ق,0.0116059584543108,"(4009, 1275)",180.81,59.51376338888889,36.339795305555555
GS__1684,٠٥٠٢ ٥,0.4025090986930515,"(3748, 1293)",157.32,59.51376338888889,36.339795305555555
